                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.79781,                0.65733,                 1.2277,                0.87925,                0.84239,                 0.9017,                 0.5766,                 1.2994,                0.69363,                 1.6911,               0.003961,               0.003961,               0.003961
                     64,                0.78895,                0.64771,                 1.2219,                0.87116,                0.83092,                 0.8929,                 0.5666,                  1.317,                0.70421,                 1.7102,               0.003862,               0.003862,               0.003862
                     65,                0.77979,                0.63225,                 1.2138,                 0.8495,                0.84136,                0.88825,                0.56582,                  1.329,                0.71243,                 1.7293,               0.003763,               0.003763,               0.003763
                     66,                0.78022,                0.64154,                 1.2161,                0.87485,                0.81869,                0.88283,                0.56418,                 1.3228,                0.70845,                 1.7264,               0.003664,               0.003664,               0.003664
                     67,                0.77842,                0.62811,                 1.2173,                0.86711,                0.82743,                0.88912,                0.56854,                 1.3339,                0.70988,                 1.7344,               0.003565,               0.003565,               0.003565
                     68,                  0.772,                 0.6235,                 1.2111,                0.85112,                0.84573,                0.89018,                0.57522,                 1.3075,                0.69897,                 1.7165,               0.003466,               0.003466,               0.003466
                     69,                0.76779,                0.62102,                 1.2103,                0.86855,                0.84522,                 0.8892,                0.57415,                  1.317,                0.69346,                 1.7216,               0.003367,               0.003367,               0.003367
                     70,                0.76267,                0.61448,                    1.2,                0.87489,                0.84316,                0.88998,                0.57213,                 1.3195,                0.70638,                 1.7237,               0.003268,               0.003268,               0.003268
                     71,                0.74794,                0.60398,                 1.1931,                0.85315,                0.85951,                0.89228,                0.57911,                 1.3019,                0.69337,                 1.7093,               0.003169,               0.003169,               0.003169
                     72,                0.74931,                 0.6078,                 1.1958,                0.84976,                0.85562,                0.89103,                0.57949,                 1.2979,                 0.6965,                 1.7127,                0.00307,                0.00307,                0.00307
                     73,                0.73721,                0.60698,                 1.1842,                0.86013,                0.85505,                 0.8922,                0.57903,                 1.2899,                0.70298,                 1.7034,               0.002971,               0.002971,               0.002971
                     74,                0.73718,                0.59787,                 1.1883,                0.88289,                0.82091,                0.89351,                0.57885,                 1.2972,                0.70204,                 1.7066,               0.002872,               0.002872,               0.002872
                     75,                0.72632,                 0.5854,                 1.1819,                 0.8702,                0.83426,                0.89407,                0.57889,                 1.2992,                0.70308,                 1.7123,               0.002773,               0.002773,               0.002773
                     76,                0.71861,                0.58346,                 1.1747,                0.87628,                0.82981,                0.88902,                0.57798,                 1.2982,                0.70905,                 1.7092,               0.002674,               0.002674,               0.002674
                     77,                0.71515,                0.58246,                 1.1756,                 0.8634,                 0.8376,                0.88648,                0.57657,                 1.3022,                0.71214,                 1.7137,               0.002575,               0.002575,               0.002575
                     78,                0.71699,                0.57304,                 1.1747,                0.87242,                0.83982,                0.89204,                0.57767,                 1.3012,                0.71012,                 1.7152,               0.002476,               0.002476,               0.002476
                     79,                0.70234,                0.56578,                 1.1667,                 0.8746,                0.83787,                0.88858,                0.57597,                  1.316,                0.70618,                 1.7377,               0.002377,               0.002377,               0.002377
                     80,                0.70507,                0.56705,                  1.165,                 0.8768,                0.83871,                0.88702,                0.57901,                 1.3148,                0.70505,                  1.732,               0.002278,               0.002278,               0.002278
                     81,                0.69378,                 0.5535,                   1.16,                0.87122,                0.83529,                 0.8874,                0.57573,                 1.3063,                0.71086,                 1.7269,               0.002179,               0.002179,               0.002179
                     82,                0.68516,                0.55029,                 1.1527,                 0.8654,                0.84388,                0.88925,                0.57666,                 1.3016,                0.70782,                  1.726,                0.00208,                0.00208,                0.00208
                     83,                0.68668,                0.55134,                  1.153,                0.88462,                0.81869,                0.88741,                0.57575,                 1.3026,                0.70982,                 1.7309,               0.001981,               0.001981,               0.001981
                     84,                0.68097,                0.53799,                 1.1507,                0.86539,                0.83315,                0.88801,                0.57539,                 1.3018,                0.71308,                  1.732,               0.001882,               0.001882,               0.001882
                     85,                0.67715,                0.54065,                 1.1475,                0.87255,                0.83315,                0.88736,                0.57469,                 1.3022,                0.70922,                 1.7346,               0.001783,               0.001783,               0.001783
                     86,                0.67751,                0.53532,                 1.1491,                0.85928,                0.84538,                0.88518,                0.57392,                 1.3036,                0.70794,                 1.7349,               0.001684,               0.001684,               0.001684
                     87,                0.65597,                0.52888,                 1.1352,                0.84641,                0.85762,                0.88407,                0.57213,                 1.3072,                0.70981,                 1.7388,               0.001585,               0.001585,               0.001585
                     88,                 0.6547,                0.52923,                 1.1341,                0.86294,                0.85206,                0.88505,                0.57152,                 1.3036,                0.71124,                 1.7384,               0.001486,               0.001486,               0.001486
                     89,                0.65875,                 0.5213,                 1.1386,                0.86578,                0.84316,                0.88395,                0.57434,                 1.2991,                0.71674,                 1.7348,               0.001387,               0.001387,               0.001387
                     90,                0.65239,                0.51611,                 1.1363,                0.85194,                0.85766,                0.88156,                0.57284,                 1.3015,                0.72045,                 1.7384,               0.001288,               0.001288,               0.001288
                     91,                0.52584,                0.29129,                 1.0746,                0.86132,                0.84973,                0.88465,                0.57471,                 1.3005,                  0.719,                 1.7396,               0.001189,               0.001189,               0.001189
                     92,                0.50839,                0.27837,                 1.0643,                 0.8601,                0.84316,                0.88505,                0.57693,                 1.2967,                0.71929,                 1.7383,                0.00109,                0.00109,                0.00109
                     93,                0.48506,                 0.2655,                 1.0438,                0.85378,                 0.8465,                0.88924,                 0.5796,                 1.2963,                0.71957,                 1.7404,               0.000991,               0.000991,               0.000991
                     94,                0.47833,                0.25941,                 1.0385,                0.86327,                0.83092,                0.88828,                0.58061,                 1.2959,                0.72259,                 1.7452,               0.000892,               0.000892,               0.000892
                     95,                 0.4699,                0.25351,                 1.0268,                0.87016,                 0.8198,                0.88849,                0.58179,                 1.2929,                0.72561,                 1.7471,               0.000793,               0.000793,               0.000793
                     96,                 0.4635,                 0.2488,                  1.031,                0.88531,                0.81869,                0.88928,                0.58276,                 1.2878,                0.72759,                 1.7435,               0.000694,               0.000694,               0.000694
                     97,                0.45854,                0.24624,                 1.0256,                 0.8524,                0.84154,                0.89204,                0.58296,                 1.2835,                0.72758,                 1.7399,               0.000595,               0.000595,               0.000595
                     98,                0.45211,                0.24094,                 1.0228,                 0.8781,                 0.8198,                0.89301,                 0.5837,                 1.2823,                 0.7279,                 1.7409,               0.000496,               0.000496,               0.000496
                     99,                0.44379,                0.23829,                 1.0147,                0.88548,                0.81709,                0.89375,                0.58304,                 1.2819,                0.73056,                 1.7429,               0.000397,               0.000397,               0.000397
                    100,                0.43606,                0.23499,                 1.0063,                0.87763,                0.82091,                0.89334,                0.58461,                  1.281,                0.73334,                 1.7454,               0.000298,               0.000298,               0.000298
